dataset,seed,method,tau,alpha,beta,AA,Macro_F1,OA,Kappa,NLL
Pingan,123,Original_LTLC,0.0,0.25,,0.714285643150948,0.6656642602331048,0.8721565191998832,0.8087703647750782,4.202230391562376
Pingan,123,Original_LTLC,0.0,0.5,,0.714285643150948,0.6656642602331048,0.8721565191998832,0.8087703647750782,4.202230391562376
Pingan,123,Original_LTLC,0.0,0.75,,0.714285643150948,0.6656642602331048,0.8721565191998832,0.8087703647750782,4.202230391562376
Pingan,123,Original_LTLC,0.0,1.0,,0.714285643150948,0.6656642602331048,0.8721565191998832,0.8087703647750782,4.202230391562376
Pingan,123,Original_LTLC,0.0,1.5,,0.714285643150948,0.6656642602331048,0.8721565191998832,0.8087703647750782,4.202230391562376
Pingan,123,Original_LTLC,0.0,2.0,,0.714285643150948,0.6656642602331048,0.8721565191998832,0.8087703647750782,4.202230391562376
Pingan,123,Original_LTLC,0.25,0.0,,0.7187815882894505,0.6563419482448992,0.871222076215506,0.8077776813232427,4.209107140396675
Pingan,123,Original_LTLC,0.25,0.25,,0.7201964376776839,0.6538122986086943,0.8710760694991969,0.8076440310843294,4.212115455072111
Pingan,123,Original_LTLC,0.25,0.5,,0.7203471089924729,0.6498335630871965,0.8705796466637465,0.8069841795394069,4.215603616297476
Pingan,123,Original_LTLC,0.25,0.75,,0.7206992109454384,0.6465829058367722,0.8701124251715578,0.8063650748483837,4.219596383042463
Pingan,123,Original_LTLC,0.25,1.0,,0.7223098315275407,0.6430285864554702,0.869674405022631,0.8058341797819757,4.224120037760158
Pingan,123,Original_LTLC,0.25,1.5,,0.7240728447704444,0.6328484014656605,0.8681559351730179,0.8038133270642726,4.234867103403749
Pingan,123,Original_LTLC,0.25,2.0,,0.7238396347306918,0.6220756630926875,0.8666958680099285,0.8018387041154532,4.248044869478369
Pingan,123,Original_LTLC,0.5,0.0,,0.7223193254834612,0.645063024388847,0.86982041173894,0.8060957728169459,4.221760469147993
Pingan,123,Original_LTLC,0.5,0.25,,0.7239619719306477,0.6361017723033935,0.8684771499488977,0.804333527905673,4.231717881060119
Pingan,123,Original_LTLC,0.5,0.5,,0.7249082897865613,0.6259583966829343,0.8669586800992846,0.8022703684254454,4.243952121390025
Pingan,123,Original_LTLC,0.5,0.75,,0.7250338340052029,0.6176276586204845,0.8658782303985983,0.8008159441082805,4.258626692603924
Pingan,123,Original_LTLC,0.5,1.0,,0.725010604342312,0.6099124956908214,0.8646225726383414,0.7990951092234231,4.275840651024583
Pingan,123,Original_LTLC,0.5,1.5,,0.7260674841538693,0.6005282936423955,0.8632501095050372,0.7972894179907435,4.317870390109345
Pingan,123,Original_LTLC,0.5,2.0,,0.7286948499065373,0.594016874608174,0.8619944517447803,0.7956671820013613,4.3694708241290465
Pingan,123,Original_LTLC,0.75,0.0,,0.7260659244557907,0.6301330606574932,0.8672506935319024,0.802758306227004,4.240609860592026
Pingan,123,Original_LTLC,0.75,0.25,,0.7251993667314449,0.6169501308913367,0.8654402102496714,0.8002705965087137,4.262038991543821
Pingan,123,Original_LTLC,0.75,0.5,,0.726953435196035,0.6064557426952849,0.8640969484596291,0.7984891767554585,4.288993693154097
Pingan,123,Original_LTLC,0.75,0.75,,0.726384125535828,0.599277138434845,0.8629580960724194,0.7969668893147003,4.3214948230332135
Pingan,123,Original_LTLC,0.75,1.0,,0.7286901276179182,0.5946631638182791,0.8619652504015185,0.7956669222128474,4.35930167675993
Pingan,123,Original_LTLC,0.75,1.5,,0.7287039839047282,0.5861545299133585,0.8593079281646956,0.7920276791069685,4.449641848466429
Pingan,123,Original_LTLC,0.75,2.0,,0.7306192580846534,0.5799611499220554,0.856738209957658,0.7885324742424652,4.558100525998346
Pingan,123,Original_LTLC,1.0,0.0,,0.726398773687349,0.6168890368511368,0.8652942035333625,0.8001511624211888,4.265829233482758
Pingan,123,Original_LTLC,1.0,0.25,,0.727566012195445,0.6037883836618668,0.8636297269674404,0.7979454833409906,4.3031906819007135
